Countries,pc_1,pc_2
Australia,-2.9848362441262615,2.5138327100882263
Austria,-1.983506075357337,0.1242911685184313
Belgium,-1.523928944447671,1.3840929668397841
Brazil,4.963138522534294,1.1819300090796696
Canada,-3.1663376935785785,1.3186543745020152
Chile,3.810483362705186,-0.45501133869222293
Colombia,6.186350102862,2.009244337255186
Costa Rica,4.362615196439101,2.016872612339682
Czech Republic,-0.9728821572193109,-2.0831323308703245
Denmark,-3.027116338133042,-0.2363819225389451
Estonia,-0.8414632798699518,-1.9625247908480288
Finland,-3.549138536390401,-0.700535342994025
France,-1.2133850477064387,0.13941836904560823
Germany,-2.4825549954134165,-0.047249902100884374
Greece,3.3916366944133425,-0.5454369136336021
Hungary,0.9920513610454046,-2.103086295947295
Iceland,-3.6306479766682047,1.4529676310258204
Ireland,-1.960992339927043,0.3706607570221003
Israel,0.034430386953978195,-0.1579099720127964
Italy,0.3777133383903372,0.29085122913297495
Japan,-0.5579171486463751,-2.142171062111326
Korea,0.7637777050160083,-1.3093570795800538
Latvia,1.2266528761953654,-2.918159948042045
Lithuania,0.898243058244411,-2.152048200838357
Luxembourg,-3.0190979280264187,2.8069597653242404
Mexico,6.842563804988672,2.621723404010413
Netherlands,-3.166349416170677,0.15789744942138856
New Zealand,-2.9361228765789096,2.1557253963207383
Norway,-3.538483198954791,0.30135078691993467
Poland,0.3461353629073083,-1.9704250304554933
Portugal,0.678695177223352,-1.3854843050553065
Russia,2.863082031190405,-2.831349031094142
Slovak Republic,0.7218138818831005,-1.7793630941386887
Slovenia,-1.148700688974768,-1.5506061018325117
South Africa,9.580890903350125,0.8384410021581876
Spain,-0.15975676193948268,0.3243942577984632
Sweden,-2.9211369543967365,-0.18250880511708767
Switzerland,-3.350006822754452,-0.3069510605111162
TÃ¼rkiye,5.033825416079712,1.0602503442942566
United Kingdom,-2.0155052311015416,0.8213066070708984
United States,-2.9242325260402846,2.928827350246237
